trigger_time_utc,trade_type,spot_at_trigger,dvol_at_trigger,price_change_1h_pct,dvol_change_1h_pct,strike,expiry_time_utc,expiry_spot,premium_usd,pnl_usd_at_expiry,roi_at_expiry,trade_win,cum_win_rate_after_trade
2025-02-03 01:00:00,SELL_PUT,93435.82,59.24,-3.1866828485318717,5.9939166219359485,79420.447,2025-02-24 02:00:00,95829.35,2655.349319674482,2655.349319674482,0.28418965228479637,1,1.0
2025-02-28 01:00:00,SELL_PUT,81661.55,54.31,-3.0822948148350244,4.845559845559856,69412.3175,2025-03-21 02:00:00,84685.4,2127.6031885548314,2127.6031885548314,0.26053916299100754,1,1.0
2025-03-04 01:00:00,SELL_PUT,83380.55,61.75,-3.0981878039565274,4.483925549915395,70873.4675,2025-03-25 02:00:00,86854.94,2469.988483042844,2469.988483042844,0.2962307736088145,1,1.0
2025-10-10 21:10:00,SELL_PUT,112209.36,43.93,-3.913897592575985,4.620147654203376,95377.95599999999,2025-10-31 21:15:00,109530.16,2364.7405542469182,2364.7405542469182,0.21074360946777684,1,1.0
2025-12-01 00:25:00,SELL_PUT,88375.56,50.83,-2.520272070125396,4.610002058036622,75119.226,2025-12-22 00:30:00,88907.22,2154.9911912005623,2154.9911912005623,0.2438446999600978,1,1.0
2025-12-05 16:45:00,SELL_PUT,88386.0,50.78,-2.9621222251718837,4.142739950779334,75128.09999999999,2025-12-26 16:50:00,87224.36,2153.1257121801805,2153.1257121801805,0.24360483698551585,1,1.0
2026-01-29 15:10:00,SELL_PUT,85338.76,39.8,-3.0126191121559414,4.874835309617903,72537.946,PENDING,PENDING,1629.3808621311007,PENDING,PENDING,PENDING,PENDING
2026-01-30 01:45:00,SELL_PUT,82018.85,44.24,-2.913316071658125,6.142034548944343,69716.0225,PENDING,PENDING,1740.6922862459521,PENDING,PENDING,PENDING,PENDING
2026-01-31 17:10:00,SELL_PUT,78846.77,48.14,-2.649282668059719,5.500767039228573,67019.7545,PENDING,PENDING,1820.8878735057697,PENDING,PENDING,PENDING,PENDING
2026-02-02 03:25:00,SELL_PUT,75102.92,49.84,-2.621038898465059,4.398826979472144,63837.481999999996,PENDING,PENDING,1795.6763679665498,PENDING,PENDING,PENDING,PENDING
2026-02-03 18:50:00,SELL_PUT,73190.01,54.64,-2.539018676312539,8.606638839196975,62211.508499999996,PENDING,PENDING,1918.473072985818,PENDING,PENDING,PENDING,PENDING
2026-02-05 15:20:00,SELL_PUT,67599.37,63.94,-3.4242977302355553,13.188174898212065,57459.464499999995,PENDING,PENDING,2073.5212535970027,PENDING,PENDING,PENDING,PENDING
2026-02-05 20:15:00,SELL_PUT,64271.32,75.42,-3.229190788607936,6.721381066930805,54630.621999999996,PENDING,PENDING,2325.3961997233177,PENDING,PENDING,PENDING,PENDING
2026-02-06 00:20:00,SELL_PUT,61060.22,87.65,-4.679046169457127,4.681715036426612,51901.187,PENDING,PENDING,2567.4588754202177,PENDING,PENDING,PENDING,PENDING
